X,Y,id,osm_id,z_order,emergency,ref,name,name:en,amenity,operator
-105.269429582257914,40.006552986485559,141076,2144234615,0,fire_hydrant,,,,,
-105.26695021529919,40.006560446379382,143770,2177626559,0,phone,,,,,
-105.266722730447057,40.005493849200548,143771,2177626531,0,phone,,,,,
-105.264505214143469,40.008103722391695,143772,2177626567,0,phone,,,,,
-105.269638962199181,40.008340762613443,143773,2177626580,0,phone,,,,,
-105.266881148417028,40.008146721554965,143774,2177626570,0,phone,,,,,
-105.260986742648328,40.007244577316413,143775,2177626564,0,phone,,,,,
-105.263883779842189,40.00627923352792,143776,2177626539,0,phone,,,,,
-105.269010235642142,40.00815233743009,143777,2177626574,0,phone,,,,,
-105.27207994004138,40.006252830532929,144082,2179440582,0,phone,,,,,
-105.274388483813425,40.007652524543857,144084,2179440587,0,phone,,,,,
-105.272830707108625,40.008365992141989,144085,2179440591,0,phone,,,,,
-105.265826034445553,40.011185580550546,144087,2179440605,0,phone,,,,,
-105.26770710115575,40.010683336912365,144088,2179440603,0,phone,,,,,
-105.271703005855656,40.010210178478218,144089,2179440599,0,phone,,,,,
-105.275081834843931,40.009905077202717,144090,2179440597,0,phone,,,,,
-105.261552940207693,40.001723669153108,150981,2247069865,0,phone,,,,,
-105.261062515053013,40.003185724523661,150982,2247069866,0,phone,,,,,
-105.263842624697602,40.003788970095059,150983,2247069867,0,phone,,,,,
-105.264022835615833,40.001688968073978,150984,2247069864,0,phone,,,,,
-105.265214909885174,40.006705872399436,201426,2501146392,0,phone,,,,,
-105.264974516902157,40.006664633435832,201427,2501146393,0,phone,,,,,
-105.264334977690012,40.004785662201442,203558,2508901222,0,fire_hydrant,,,,,
-105.264404715124414,40.005967678186948,203560,2508901223,0,fire_hydrant,,,,,
-105.264037671584447,40.007099989486676,203562,2508901224,0,fire_hydrant,,,,,
-105.259127217429281,40.00839633463147,204833,2514423936,0,fire_hydrant,,,,,
-105.264029624957402,40.008388539461521,204834,2514423953,0,fire_hydrant,,,,,
-105.263954523104971,40.008005737943591,204835,2514423971,0,fire_hydrant,,,,,
-105.264033480632861,40.007464518455691,204836,2514423992,0,fire_hydrant,,,,,
-105.262208740311991,40.006393143592049,205111,2515110040,0,fire_hydrant,,,,,
-105.259944201531596,40.006461456102898,205112,2515110037,0,fire_hydrant,,,,,
-105.262944168496432,40.005509020445317,205113,2515110039,0,fire_hydrant,,,,,
-105.262508728626571,40.004823464584746,205114,2515110038,0,fire_hydrant,,,,,
-105.262187953192125,40.007363181246319,245340,2703448398,0,fire_hydrant,,,,,
